port_agency_cd,port_agency_nm,entry_year,entry_count,callsgn,vessel_name,nationality_cd,nationality_nm,ship_kind_cd,ship_kind_nm,entry_purpose_cd,entry_purpose_nm,origin_port_cd,origin_port_nm,prev_port_cd,prev_port_nm,next_port_cd,next_port_nm,dest_port_cd,dest_port_nm,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,ship_kind_category,is_liquid_cargo_vessel,is_domestic_voyage,port_agency_label
820,울산,2026,35,DSFN9,우선호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRMOK,목포,KRMOK,목포,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,9,DSRL7,누리 하나호,KR,대한민국,52,석유제품 운반선,01,양적하,JPCHB,CHIBA,JPCHB,CHIBA,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,False,울산항
820,울산,2026,4,3E5991,광양보이져,PA,파나마,41,풀컨테이너선,01,양적하,KRPUS,부산,KRPUS,부산,KRKAN,광양,CNSHA,SHANGHAI,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,2,LATJ8,MANON,NO,노르웨이,27,자동차운반선,03,적하,KRMAS,마산,KRMAS,마산,USSSI,BRUNSWICK,USPHL,PHILADELPHIA,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,1,3FEE,C. PRIMACY,PA,파나마,51,원유운반선,02,양하,AEFJR,AL FUJAYRAH,AEFJR,AL FUJAYRAH,SGSIN,SINGAPORE,AEFJR,AL FUJAYRAH,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,일반화물선,False,False,울산항
820,울산,2026,2,D5HE4,NAVIGATOR CERES,LR,라이베리아,55,LPG 운반선,02,양하,CAPRR,PRINCE RUPERT,CAPRR,PRINCE RUPERT,CAPRR,PRINCE RUPERT,CAPRR,PRINCE RUPERT,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,LPG선,True,False,울산항
820,울산,2026,46,240011,7선영,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRKAN,광양,KRKAN,광양,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,45,210024,송림호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,17,230040,아라1호,KR,대한민국,52,석유제품 운반선,01,양적하,KRPUS,부산,KRPUS,부산,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,44,230010,스카이마스,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRKAN,광양,KRKAN,광양,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,58,DSNA3,제1한미르호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,39,224805,다온,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,61,184803,진양1호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRMAS,마산,KRMAS,마산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,14,DSOV4,거영쎄븐호,KR,대한민국,53,케미칼 운반선,02,양하,CNTAX,TAIXING,CNTAX,TAIXING,JPCHB,CHIBA,JPCHB,CHIBA,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,False,울산항
820,울산,2026,44,130037,11송원호,KR,대한민국,52,석유제품 운반선,03,적하,KRZZZ,기타항,KRPUS,부산,KRZZZ,기타항,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
